SKU_ID,Revenue_Rank,Category,Segment,ABC_Class,XYZ_Class,Total_Revenue,Revenue_Pct,Total_Units,Stockout_Rate_Pct,CV,Priority_Flag,Recommended_Zone,Adj_Safety_Stock,Adj_Reorder_Point,Primary_Warehouse,Cumulative_Revenue_Pct
IND-000107,31,Industrial,AY,A,Y,139226789.19,0.7159,92271,2.47,0.6006,Critical,Prime Pick-Face,442,248,DHL-WH-TX03,33.1813
ELC-000212,32,Consumer Electronics,AY,A,Y,138878754.28,0.7142,82726,2.22,0.4274,Critical,Prime Pick-Face,282,571,DHL-WH-TX03,33.8955
IND-000188,33,Industrial,AX,A,X,136506762.0,0.702,25095,2.38,0.1599,Critical,Prime Pick-Face,78,118,DHL-WH-NJ01,34.5975
AUT-001166,34,Automotive,AX,A,X,131328498.93,0.6753,74999,1.86,0.1561,Critical,Prime Pick-Face,309,74,DHL-WH-IL02,35.2728
PHM-001016,35,Pharmaceutical,AX,A,X,128922263.28,0.663,81706,3.32,0.1612,Critical,Prime Pick-Face,98,68,DHL-WH-TX03,35.9358
ELC-000528,36,Consumer Electronics,AX,A,X,126170152.12,0.6488,73804,3.48,0.2959,Critical,Prime Pick-Face,214,723,DHL-WH-TX03,36.5846
IND-001676,37,Industrial,AY,A,Y,121961112.7,0.6272,32606,2.88,0.3808,Critical,Prime Pick-Face,356,958,DHL-WH-IL02,37.2118
ELC-001776,38,Consumer Electronics,AX,A,X,121736383.92,0.626,64374,3.2,0.2744,Critical,Prime Pick-Face,350,599,DHL-WH-TX03,37.8378
PHM-001914,39,Pharmaceutical,AX,A,X,121559051.28,0.6251,39012,2.81,0.1635,Critical,Prime Pick-Face,226,260,DHL-WH-NJ01,38.4629
AUT-001932,40,Automotive,AY,A,Y,120891489.6,0.6217,55111,2.56,0.4032,Critical,Prime Pick-Face,494,680,DHL-WH-IL02,39.0846
IND-000214,41,Industrial,AY,A,Y,120559892.25,0.62,52941,3.3,0.6275,Critical,Prime Pick-Face,344,461,DHL-WH-TX03,39.7046
ELC-000891,42,Consumer Electronics,AY,A,Y,119503026.0,0.6145,83400,4.37,0.5896,Critical,Prime Pick-Face,36,750,DHL-WH-NJ01,40.3191
ELC-001274,43,Consumer Electronics,AY,A,Y,118605736.68,0.6099,44643,2.68,0.5848,Critical,Prime Pick-Face,72,790,DHL-WH-NJ01,40.929
ELC-001190,44,Consumer Electronics,AY,A,Y,114467295.69,0.5886,49533,2.7,0.4551,Critical,Prime Pick-Face,104,83,DHL-WH-IL02,41.5176
ELC-000776,45,Consumer Electronics,AY,A,Y,113302004.86,0.5826,57514,3.85,0.4658,Critical,Prime Pick-Face,346,312,DHL-WH-NJ01,42.1002
PHM-001340,46,Pharmaceutical,AY,A,Y,111966369.0,0.5758,67575,2.52,0.3991,Critical,Prime Pick-Face,144,936,DHL-WH-NJ01,42.676
PHM-000671,47,Pharmaceutical,AY,A,Y,110398768.12,0.5677,74119,3.06,0.3842,Critical,Prime Pick-Face,172,258,DHL-WH-NJ01,43.2437
AUT-000847,48,Automotive,AX,A,X,110187037.68,0.5666,54534,3.54,0.1653,Critical,Prime Pick-Face,42,185,DHL-WH-TX03,43.8103
AUT-000664,49,Automotive,AY,A,Y,106267120.0,0.5465,56480,3.91,0.5974,Critical,Prime Pick-Face,266,133,DHL-WH-IL02,44.3568
PHM-000795,50,Pharmaceutical,AY,A,Y,105359356.8,0.5418,59616,2.51,0.6154,Critical,Prime Pick-Face,366,826,DHL-WH-NJ01,44.8986
PHM-001240,51,Pharmaceutical,AX,A,X,101861471.15,0.5238,85685,2.52,0.162,Critical,Prime Pick-Face,310,731,DHL-WH-IL02,45.4224
IND-000688,52,Industrial,AX,A,X,98782325.98,0.508,28547,3.13,0.1617,Critical,Prime Pick-Face,170,229,DHL-WH-NJ01,45.9304
ELC-000938,53,Consumer Electronics,AY,A,Y,97869850.0,0.5033,44285,3.77,0.4478,Critical,Prime Pick-Face,536,840,DHL-WH-TX03,46.4337
IND-001283,54,Industrial,AY,A,Y,96260531.25,0.495,30875,3.64,0.5736,Critical,Prime Pick-Face,246,650,DHL-WH-NJ01,46.9287
ELC-001487,55,Consumer Electronics,AY,A,Y,95162409.18,0.4894,50202,3.72,0.592,Critical,Prime Pick-Face,276,898,DHL-WH-IL02,47.4181
PHM-001211,56,Pharmaceutical,AX,A,X,94473508.32,0.4858,68734,2.46,0.1722,Critical,Prime Pick-Face,246,79,DHL-WH-TX03,47.9039
AUT-001929,57,Automotive,AY,A,Y,92533049.76,0.4758,83184,3.9,0.6292,Critical,Prime Pick-Face,492,318,DHL-WH-IL02,48.3797
FSH-000043,58,Fashion & Apparel,AY,A,Y,90489384.52,0.4653,95258,2.84,0.5879,Critical,Prime Pick-Face,174,789,DHL-WH-TX03,48.845
IND-000005,59,Industrial,AY,A,Y,89839253.12,0.462,32176,3.51,0.5793,Critical,Prime Pick-Face,20,917,DHL-WH-TX03,49.307
ELC-000233,60,Consumer Electronics,AY,A,Y,87260878.99,0.4487,53279,2.74,0.4186,Critical,Prime Pick-Face,176,258,DHL-WH-NJ01,49.7557
AUT-000483,61,Automotive,AY,A,Y,87038627.68,0.4476,35696,2.95,0.386,Critical,Prime Pick-Face,318,306,DHL-WH-IL02,50.2033
HLT-000857,62,Healthcare,AY,A,Y,86890042.0,0.4468,77167,2.35,0.597,Critical,Prime Pick-Face,168,555,DHL-WH-TX03,50.6501
ELC-000414,63,Consumer Electronics,AX,A,X,86445093.43,0.4445,86129,3.42,0.2879,Critical,Prime Pick-Face,310,252,DHL-WH-TX03,51.0946
HLT-000342,64,Healthcare,AY,A,Y,86435256.05,0.4445,80485,2.22,0.3975,Critical,Prime Pick-Face,540,949,DHL-WH-TX03,51.5391
FSH-000159,65,Fashion & Apparel,AY,A,Y,84474059.72,0.4344,97252,3.03,0.543,Critical,Prime Pick-Face,344,598,DHL-WH-IL02,51.9735
AUT-000898,66,Automotive,AY,A,Y,83939037.0,0.4316,61075,4.74,0.6064,Critical,Prime Pick-Face,466,456,DHL-WH-IL02,52.4051
AUT-000502,67,Automotive,AY,A,Y,82901482.1,0.4263,69065,2.82,0.4097,Critical,Prime Pick-Face,394,595,DHL-WH-IL02,52.8314
IND-001427,68,Industrial,AX,A,X,81621372.78,0.4197,30831,3.65,0.1603,Critical,Prime Pick-Face,333,51,DHL-WH-NJ01,53.2511
IND-001960,69,Industrial,AY,A,Y,81246865.57,0.4178,49751,3.72,0.5914,Critical,Prime Pick-Face,248,773,DHL-WH-NJ01,53.6689
HLT-000641,70,Healthcare,AX,A,X,79298676.68,0.4078,84116,3.91,0.1679,Critical,Prime Pick-Face,426,432,DHL-WH-IL02,54.0767
ELC-000431,71,Consumer Electronics,AY,A,Y,79055290.62,0.4065,69534,3.37,0.6164,Critical,Prime Pick-Face,28,651,DHL-WH-TX03,54.4832
IND-000218,72,Industrial,AY,A,Y,78545812.36,0.4039,81233,2.9,0.5961,Critical,Prime Pick-Face,310,634,DHL-WH-IL02,54.8871
FSH-000149,73,Fashion & Apparel,AY,A,Y,76806998.82,0.395,91746,3.36,0.5832,Critical,Prime Pick-Face,218,512,DHL-WH-IL02,55.2821
HLT-000841,74,Healthcare,AY,A,Y,75682008.82,0.3892,58277,2.45,0.3821,Critical,Prime Pick-Face,160,157,DHL-WH-IL02,55.6713
ELC-000954,75,Consumer Electronics,AX,A,X,75050791.2,0.3859,73206,3.25,0.2919,Critical,Prime Pick-Face,358,153,DHL-WH-TX03,56.0572
ELC-000321,76,Consumer Electronics,AX,A,X,74841208.22,0.3849,46883,3.29,0.2375,Critical,Prime Pick-Face,246,202,DHL-WH-TX03,56.4421
ELC-000794,77,Consumer Electronics,AY,A,Y,72952945.38,0.3751,50722,3.81,0.4376,Critical,Prime Pick-Face,430,544,DHL-WH-TX03,56.8172
HLT-000706,78,Healthcare,AY,A,Y,71857682.91,0.3695,70513,2.48,0.3816,Critical,Prime Pick-Face,62,173,DHL-WH-NJ01,57.1867
ELC-000829,79,Consumer Electronics,AX,A,X,71291419.82,0.3666,30782,3.45,0.2617,Critical,Prime Pick-Face,52,450,DHL-WH-IL02,57.5533
HLT-001898,80,Healthcare,AX,A,X,71005034.34,0.3651,48842,2.04,0.1772,Critical,Prime Pick-Face,318,670,DHL-WH-TX03,57.9184
PHM-001024,81,Pharmaceutical,AY,A,Y,70083104.04,0.3604,56097,2.52,0.3926,Critical,Prime Pick-Face,186,38,DHL-WH-NJ01,58.2788
FSH-000056,82,Fashion & Apparel,AY,A,Y,69957312.2,0.3597,92948,4.15,0.3851,Critical,Prime Pick-Face,310,371,DHL-WH-TX03,58.6385
CHM-000920,83,Chemical,AY,A,Y,69557576.0,0.3577,87604,3.27,0.3868,Critical,Prime Pick-Face,334,74,DHL-WH-TX03,58.9962
IND-001981,84,Industrial,AY,A,Y,68955215.34,0.3546,18579,3.14,0.394,Critical,Prime Pick-Face,216,627,DHL-WH-NJ01,59.3508
ELC-001412,85,Consumer Electronics,AY,A,Y,68949532.82,0.3546,36977,2.91,0.6072,Critical,Prime Pick-Face,588,106,DHL-WH-IL02,59.7054
CHM-001448,86,Chemical,AX,A,X,68551636.0,0.3525,79804,2.46,0.1693,Critical,Prime Pick-Face,170,724,DHL-WH-IL02,60.0579
AUT-001762,87,Automotive,AX,A,X,68453713.64,0.352,44447,2.67,0.1655,Critical,Prime Pick-Face,99,545,DHL-WH-TX03,60.4099
CHM-001826,88,Chemical,AY,A,Y,68044896.32,0.3499,60911,3.61,0.3908,Critical,Prime Pick-Face,294,64,DHL-WH-TX03,60.7598
IND-001270,89,Industrial,AY,A,Y,67467354.15,0.3469,49485,2.55,0.6142,Critical,Prime Pick-Face,32,134,DHL-WH-IL02,61.1067
ELC-000677,90,Consumer Electronics,AX,A,X,66557973.0,0.3423,37614,3.09,0.2976,Critical,Prime Pick-Face,288,716,DHL-WH-IL02,61.449
ELC-001760,91,Consumer Electronics,AX,A,X,63893997.7,0.3286,61802,2.67,0.2505,Critical,Prime Pick-Face,122,745,DHL-WH-IL02,61.7776
ELC-001530,92,Consumer Electronics,AY,A,Y,63331258.77,0.3257,30797,3.11,0.6128,Critical,Prime Pick-Face,232,437,DHL-WH-IL02,62.1033
AUT-000808,93,Automotive,AY,A,Y,63107498.52,0.3245,58914,3.05,0.3972,Critical,Prime Pick-Face,514,848,DHL-WH-TX03,62.4278
AUT-001006,94,Automotive,AY,A,Y,62153595.78,0.3196,76803,4.07,0.5983,Critical,Prime Pick-Face,460,598,DHL-WH-IL02,62.7474
AUT-000279,95,Automotive,AX,A,X,62004683.0,0.3188,36205,3.14,0.1604,Critical,Prime Pick-Face,408,65,DHL-WH-NJ01,63.0662
PHM-000864,96,Pharmaceutical,AY,A,Y,61430476.8,0.3159,32648,2.7,0.5845,Critical,Prime Pick-Face,556,502,DHL-WH-NJ01,63.3821
CHM-001667,97,Chemical,AX,A,X,61429005.0,0.3159,53075,3.1,0.1727,Critical,Prime Pick-Face,27,737,DHL-WH-TX03,63.698
PHM-000710,98,Pharmaceutical,AY,A,Y,61232345.56,0.3149,81413,3.21,0.4119,Critical,Prime Pick-Face,66,507,DHL-WH-NJ01,64.0129
ELC-001488,99,Consumer Electronics,AY,A,Y,61085693.36,0.3141,60028,2.87,0.3132,Critical,Prime Pick-Face,556,840,DHL-WH-TX03,64.327
IND-001751,100,Industrial,AY,A,Y,60687873.12,0.3121,30568,3.29,0.3851,Critical,Prime Pick-Face,78,72,DHL-WH-IL02,64.6391
HLT-001969,101,Healthcare,AY,A,Y,60202111.6,0.3096,46415,2.72,0.3835,Critical,Prime Pick-Face,440,110,DHL-WH-IL02,64.9487
PHM-001460,102,Pharmaceutical,AY,A,Y,59255607.32,0.3047,65926,3.12,0.4022,Critical,Prime Pick-Face,338,296,DHL-WH-TX03,65.2534
CHM-000607,103,Chemical,AX,A,X,59228435.88,0.3046,78642,1.25,0.1662,Critical,Prime Pick-Face,338,364,DHL-WH-NJ01,65.558
ELC-001428,104,Consumer Electronics,AY,A,Y,58959366.72,0.3032,40286,2.95,0.4206,Critical,Prime Pick-Face,512,762,DHL-WH-IL02,65.8612
PHM-001996,105,Pharmaceutical,AY,A,Y,58035355.93,0.2984,84883,1.87,0.6143,Critical,Prime Pick-Face,354,35,DHL-WH-TX03,66.1596
CHM-001502,106,Chemical,AY,A,Y,57947616.0,0.298,57080,2.46,0.5891,Critical,Prime Pick-Face,384,856,DHL-WH-NJ01,66.4576
ELC-000856,107,Consumer Electronics,AY,A,Y,57855527.85,0.2975,88745,3.45,0.4436,Critical,Prime Pick-Face,436,597,DHL-WH-TX03,66.7551
FSH-001742,108,Fashion & Apparel,AY,A,Y,57529001.06,0.2958,85366,3.35,0.581,Critical,Prime Pick-Face,290,269,DHL-WH-IL02,67.0509
ELC-000222,109,Consumer Electronics,AY,A,Y,56711083.12,0.2916,30319,2.7,0.432,Critical,Prime Pick-Face,224,531,DHL-WH-IL02,67.3425
AUT-000297,110,Automotive,AY,A,Y,56533440.6,0.2907,75894,3.03,0.4067,Critical,Prime Pick-Face,508,608,DHL-WH-NJ01,67.6332
ELC-001097,111,Consumer Electronics,AX,A,X,56349011.18,0.2898,35966,2.93,0.266,Critical,Prime Pick-Face,234,771,DHL-WH-IL02,67.923
HLT-000019,112,Healthcare,AY,A,Y,56138355.18,0.2887,45819,3.99,0.5929,Critical,Prime Pick-Face,530,472,DHL-WH-NJ01,68.2117
ELC-001184,113,Consumer Electronics,AY,A,Y,55762071.01,0.2867,33289,2.62,0.4211,Critical,Prime Pick-Face,196,213,DHL-WH-TX03,68.4984
AUT-001221,114,Automotive,AX,A,X,54447904.29,0.28,46007,3.31,0.167,Critical,Prime Pick-Face,309,73,DHL-WH-IL02,68.7784
FSH-001023,115,Fashion & Apparel,AY,A,Y,54308692.5,0.2793,87630,3.97,0.386,Critical,Prime Pick-Face,540,618,DHL-WH-IL02,69.0577
ELC-001666,116,Consumer Electronics,AY,A,Y,52856789.26,0.2718,49594,2.04,0.4738,Critical,Prime Pick-Face,150,810,DHL-WH-IL02,69.3295
AUT-001069,117,Automotive,AX,A,X,52757459.52,0.2713,46608,3.4,0.1618,Critical,Prime Pick-Face,440,389,DHL-WH-IL02,69.6008
HLT-001978,118,Healthcare,AY,A,Y,52559144.6,0.2703,78062,4.23,0.6066,Critical,Prime Pick-Face,598,166,DHL-WH-IL02,69.8711
PHM-000161,119,Pharmaceutical,AY,A,Y,52549409.85,0.2702,37835,2.12,0.6139,Critical,Prime Pick-Face,116,40,DHL-WH-TX03,70.1413
CHM-001091,120,Chemical,AX,A,X,52549313.71,0.2702,63589,3.68,0.1605,Critical,Prime Pick-Face,213,607,DHL-WH-NJ01,70.4115
ELC-001716,121,Consumer Electronics,AY,A,Y,51099674.34,0.2628,60269,3.68,0.3072,Critical,Prime Pick-Face,438,120,DHL-WH-TX03,70.6743
AUT-001170,122,Automotive,AX,A,X,50939033.6,0.2619,32480,3.65,0.1648,Critical,Prime Pick-Face,280,65,DHL-WH-IL02,70.9362
HLT-001592,123,Healthcare,AY,A,Y,50023465.8,0.2572,61292,2.18,0.3856,Critical,Prime Pick-Face,92,162,DHL-WH-TX03,71.1934
CHM-001012,124,Chemical,AY,A,Y,49975313.1,0.257,53930,3.92,0.3908,Critical,Prime Pick-Face,88,675,DHL-WH-TX03,71.4504
AUT-001813,125,Automotive,AX,A,X,49141710.15,0.2527,46605,3.44,0.1708,Critical,Prime Pick-Face,104,391,DHL-WH-NJ01,71.7031
HLT-001154,126,Healthcare,AY,A,Y,48916717.08,0.2515,73956,3.05,0.6148,Critical,Prime Pick-Face,472,147,DHL-WH-TX03,71.9546
ELC-001558,127,Consumer Electronics,AY,A,Y,48683756.67,0.2503,86971,3.51,0.6174,Critical,Prime Pick-Face,380,733,DHL-WH-IL02,72.2049
HLT-000410,128,Healthcare,AY,A,Y,48526310.43,0.2495,40937,4.31,0.5986,Critical,Prime Pick-Face,548,515,DHL-WH-TX03,72.4544
AUT-000940,129,Automotive,AX,A,X,47574172.88,0.2446,39934,2.0,0.1711,Critical,Prime Pick-Face,34,225,DHL-WH-IL02,72.699
AUT-000258,130,Automotive,AY,A,Y,46974852.74,0.2416,57397,2.71,0.4049,Critical,Prime Pick-Face,488,608,DHL-WH-IL02,72.9406
HLT-000882,131,Healthcare,AY,A,Y,45980861.13,0.2364,76723,3.79,0.6084,Critical,Prime Pick-Face,148,613,DHL-WH-IL02,73.177
AUT-000236,132,Automotive,AY,A,Y,45954745.2,0.2363,24570,2.18,0.389,Critical,Prime Pick-Face,246,696,DHL-WH-IL02,73.4133
IND-000013,133,Industrial,AY,A,Y,45941839.71,0.2362,30733,4.52,0.5943,Critical,Prime Pick-Face,512,190,DHL-WH-NJ01,73.6495
FSH-000029,134,Fashion & Apparel,AX,A,X,45821166.65,0.2356,66557,1.56,0.2045,Critical,Prime Pick-Face,132,729,DHL-WH-IL02,73.8851
HLT-000415,135,Healthcare,AX,A,X,45794257.6,0.2355,45808,3.37,0.1606,Critical,Prime Pick-Face,372,166,DHL-WH-NJ01,74.1206
HLT-000030,136,Healthcare,AY,A,Y,45593680.03,0.2345,56317,2.04,0.6147,Critical,Prime Pick-Face,44,131,DHL-WH-NJ01,74.3551
ELC-001780,137,Consumer Electronics,AX,A,X,45306952.32,0.233,26166,3.07,0.2355,Critical,Prime Pick-Face,344,306,DHL-WH-IL02,74.5881
FSH-001312,138,Fashion & Apparel,AY,A,Y,44743147.2,0.2301,82188,2.03,0.3753,Critical,Prime Pick-Face,520,272,DHL-WH-IL02,74.8182
ELC-001792,139,Consumer Electronics,AY,A,Y,44514477.56,0.2289,66164,2.33,0.4309,Critical,Prime Pick-Face,326,75,DHL-WH-TX03,75.0471
HLT-000785,140,Healthcare,AX,A,X,44186526.82,0.2272,85238,3.73,0.1758,Critical,Prime Pick-Face,351,311,DHL-WH-TX03,75.2743
IND-000668,141,Industrial,AY,A,Y,43967439.0,0.2261,32700,2.23,0.4136,Critical,Prime Pick-Face,124,38,DHL-WH-IL02,75.5004
ELC-000896,142,Consumer Electronics,AX,A,X,42278407.8,0.2174,67420,2.95,0.2966,Critical,Prime Pick-Face,198,361,DHL-WH-TX03,75.7178
HLT-001612,143,Healthcare,AY,A,Y,41387395.5,0.2128,61934,2.95,0.6201,Critical,Prime Pick-Face,282,530,DHL-WH-TX03,75.9306
AUT-000348,144,Automotive,AY,A,Y,41130862.31,0.2115,38671,3.04,0.6097,Critical,Prime Pick-Face,366,195,DHL-WH-TX03,76.1421
PHM-001128,145,Pharmaceutical,AY,A,Y,40849887.52,0.2101,60803,2.37,0.3946,Critical,Prime Pick-Face,582,464,DHL-WH-NJ01,76.3522
PHM-001948,146,Pharmaceutical,AY,A,Y,40804082.56,0.2098,34108,3.51,0.4015,Critical,Prime Pick-Face,250,330,DHL-WH-TX03,76.562
PHM-001249,147,Pharmaceutical,AX,A,X,40387436.04,0.2077,31234,1.86,0.1732,Critical,Prime Pick-Face,284,92,DHL-WH-TX03,76.7697
ELC-000947,148,Consumer Electronics,AY,A,Y,40211009.2,0.2068,90647,1.47,0.5861,Critical,Prime Pick-Face,302,579,DHL-WH-TX03,76.9765
ELC-001408,149,Consumer Electronics,AY,A,Y,39965995.8,0.2055,23420,2.0,0.6279,Critical,Prime Pick-Face,54,602,DHL-WH-IL02,77.182
HLT-000906,150,Healthcare,AY,A,Y,39425572.8,0.2027,53919,2.38,0.4015,Critical,Prime Pick-Face,354,142,DHL-WH-IL02,77.3847
IND-000839,151,Industrial,AY,A,Y,39082282.8,0.201,69285,3.42,0.6035,Critical,Prime Pick-Face,114,317,DHL-WH-IL02,77.5857
HLT-000714,152,Healthcare,AY,A,Y,38745646.6,0.1992,87541,3.32,0.5979,Critical,Prime Pick-Face,126,242,DHL-WH-NJ01,77.7849
FSH-001275,153,Fashion & Apparel,AX,A,X,38590335.35,0.1984,75385,2.31,0.2358,Critical,Prime Pick-Face,429,57,DHL-WH-TX03,77.9833
FSH-001182,154,Fashion & Apparel,AY,A,Y,38122437.18,0.196,63566,2.95,0.3729,Critical,Prime Pick-Face,88,734,DHL-WH-NJ01,78.1793
ELC-001457,155,Consumer Electronics,AX,A,X,37871661.4,0.1947,46940,2.81,0.281,Critical,Prime Pick-Face,370,360,DHL-WH-NJ01,78.374
FSH-001244,156,Fashion & Apparel,AY,A,Y,36918103.93,0.1898,61339,3.18,0.3553,Critical,Prime Pick-Face,232,618,DHL-WH-TX03,78.5638
CHM-001852,157,Chemical,AY,A,Y,36222776.0,0.1863,31840,1.92,0.3826,Critical,Prime Pick-Face,218,234,DHL-WH-NJ01,78.7501
ELC-000783,158,Consumer Electronics,AY,A,Y,34995803.94,0.18,84863,3.75,0.4804,Critical,Prime Pick-Face,394,787,DHL-WH-TX03,78.9301
CHM-001125,159,Chemical,AY,A,Y,34913042.28,0.1795,41124,1.8,0.6256,Critical,Prime Pick-Face,576,680,DHL-WH-NJ01,79.1096
HLT-000221,160,Healthcare,AY,A,Y,34846503.75,0.1792,32225,4.06,0.6002,Critical,Prime Pick-Face,508,704,DHL-WH-TX03,79.2888
IND-001134,161,Industrial,AY,A,Y,34656380.85,0.1782,10743,4.38,0.5639,Critical,Prime Pick-Face,358,402,DHL-WH-TX03,79.467
HLT-000670,162,Healthcare,AX,A,X,34525754.25,0.1775,79635,2.33,0.1689,Critical,Prime Pick-Face,213,233,DHL-WH-NJ01,79.6445
AUT-001440,163,Automotive,AY,A,Y,33978751.05,0.1747,81357,3.24,0.6039,Critical,Prime Pick-Face,122,792,DHL-WH-NJ01,79.8192
ELC-001300,164,Consumer Electronics,AY,A,Y,33902257.3,0.1743,84313,3.14,0.4116,Critical,Prime Pick-Face,180,859,DHL-WH-TX03,79.9935
IND-001989,165,Industrial,BY,B,Y,33442577.88,0.172,13404,1.82,0.5696,Standard,Standard Pick,98,503,DHL-WH-TX03,80.1655
FSH-001917,166,Fashion & Apparel,BY,B,Y,33224481.0,0.1709,69653,3.25,0.559,Standard,Standard Pick,441,268,DHL-WH-IL02,80.3364
CHM-001602,167,Chemical,BX,B,X,32782528.39,0.1686,68587,3.38,0.1634,Standard,Standard Pick,164,107,DHL-WH-NJ01,80.505
IND-000011,168,Industrial,BX,B,X,31127566.24,0.1601,84664,3.91,0.1658,Standard,Standard Pick,296,418,DHL-WH-TX03,80.6651
HLT-001259,169,Healthcare,BY,B,Y,30065770.79,0.1546,81371,3.91,0.4144,Standard,Standard Pick,176,507,DHL-WH-NJ01,80.8197
CHM-001528,170,Chemical,BY,B,Y,29696584.68,0.1527,26181,3.05,0.6219,Standard,Standard Pick,138,706,DHL-WH-IL02,80.9724
